Number Order Height TxHash Address Amount(Meer) TimeWeight TotalLockAmount(Meer) profit(Meer)
1071 292038 280087 5e0d02995b0fc7f9fe151d9174c6eb165d31cca7ba588c9c96c527795bfad61b MmZXzRtP3VhJ97gCSF9pDqyURRtmsaLvDUT 700.00000000 5 786930.01989685 93.71459360
1072 292074 280117 e703e22d5e591cbdc65f29dbdcf68c1a9d9ce32f1ad3721e1abf064573a810b3 MmgA9mkR25x8gE3cZTPVVkbzLPioJ78ixt9 150.00000000 5 787080.01989685 20.08169862
1073 292292 280315 365df9548f3c0c29d24b16f56277d32eda54aa7e69bbc5d3fed76c6fedb36632 MmX5sTQABQa7g7PzpHzt51ddnE1bK9D1W1H 100.00000000 5 787180.01989685 13.38779908
1074 294159 282115 f83a90fcba3a8e3ca68ce060c512d03660bd838a8a3b312a6d5feb1830c862ea MmggBDgpceUn2Yf4pZByE9Nj1Vt5zgMdZ5F 300.00000000 5 787480.01989685 40.16339725
1075 294732 282609 5165dec778a712723213e01b53d85f1402445540e9d7cf194a7cc0617435bf09 MmiTs3scDnGaxQZZHncGXpbX1zhL2j4Emw9 512.20000000 5 787992.21989685 68.57230691
1076 294743 282618 d6fbf7ba0db0a00058f092402beeaca759efd3ce5c45ad636c5d292039aa2f27 MmSd874DswoYvWQ7SiixZJ9L7KyuwN6yjW6 0.60000000 5 787992.81989685 0.08032679
1077 294977 282803 734e74ef5f8c100b5f82087b6a3643b4fc40704708d4307b727ff285c557025b MmNkqvsAXgRhqZat549yoDzFxeFjYc1AEhE 34.50000000 5 788027.31989685 4.61879068
1078 295189 282992 8761c32ee96fd7144796dd9f112ffdf70257cbb6c0c03b4087c17c91b307433c MmUBUGY3JvWhv9v8McPdUkAKWQkhkcA94n5 19.00000000 5 788046.31989685 2.54368182
1079 295300 283080 1fa2f77e8fe24a423a3615f0f6936a32e13fe48c4bb93b64c219d5335c97fbc8 MmgGhzPY9zrdt1DNsf1dEWFyv6veSrVK5D7 1000.00000000 5 789046.31989685 133.87799085
1080 295307 283087 67fbaf661280266d8b70efd0647d92150e170874e0654953d9481c1d4cb90746 MmX5sTQABQa7g7PzpHzt51ddnE1bK9D1W1H 200.00000000 5 789246.31989685 26.77559817
1081 295454 283213 068109153c131b5cfb3f79401142627ea844d4af783ac85c448d416b9b8b3965 MmhWjdm7RkUGtUXk8CEkH3KxaDwJs9WWpv8 300.00000000 5 789546.31989685 40.16339725
1082 295544 283294 5c6529182f1e97e2cf5b90f28ac46517b21d8272a1befc456e4776d2a67c9e85 MmSif49K5LkJnvkaLLDVBvFYFViFnEi4iSK 5765.00000000 5 795311.31989685 771.80661729
1083 295642 283385 dc78b27e5e1fcd0ae6208e73532f2732373e9de3abbd6c7915ade5963bf0597a MmPVnee3txzJ4sjoJGv7JMpbYyoUsMi91zz 421.00000000 5 795732.31989685 56.36263415
1084 295985 283715 b21ebdf634776ae9c502485a5e5dbf437f0d26c0b80e3f63152997fa04cf4207 MmT9wChLYSjadTkGpXpqVCXrdUk5bdh3MEm 100.00000000 5 795832.31989685 13.38779908
1085 296271 283968 206ef3a358654b91b4723d1d3883dc39695475fadcbe5bf88d8e6ea12dab0684 MmY6e9yakafdsbtgVUdaZEFkzWrn8B3jpMX 30000.00000000 5 825832.31989685 4016.33972571
1086 297337 285022 0b656184d80dd3424031fbe41349ba247b489c4bf52aaa84f00997723c292a9e MmfXV9RQnfGbLrmqekeL5AfprscR3zcq3Kk 1000.00000000 5 826832.31989685 133.87799085
1087 297471 285152 ca0db3a0bedd4b8d5013f9e9f9c6ce755f2a797c5233b7b73213c79f231163d5 MmVYoG5hQ5ANTvSb5y7LpzrXQf2d1e61qQr 850.00000000 5 827682.31989685 113.79629222
1088 297664 285321 9fb360f4d90eaa3a370ec7b2c2754b354978c449933fe587c3b8b2db70d28ca2 MmWSXnMoxiZuma4D7TYpQZ6uLFYpiXa8c8X 40.00000000 5 827722.31989685 5.35511963
1089 297752 285390 48d892e464272d3226ecfc81452dba3b1416650755b786b4c800a3b8d25706fa MmSBoy37jGkkMTE1sk7L9KfVqrFm8khf71W 100.00000000 5 827822.31989685 13.38779908
1090 297841 285464 498e399718f8ff579eff08e4929df340693f2078a2e47fecf5bfd571e87e9483 MmbQssY1M8xcgJRdXM5pB8CJXJhGLCJh7fk 298.00000000 5 828120.31989685 39.89564127
1091 297966 285570 5bb6dcd97193a6f61404cfb1e559330d681674f3a26288666adcc1b3582a579a Mmb5rv26dnunUGMTQSMamnUmsyi38QsE8PS 1000.00000000 5 829120.31989685 133.87799085
1092 298115 285695 aa420de1e2be46fadf42e853b117b455634c57b1162900a977a1b08c6bbc7718 MmUBUGY3JvWhv9v8McPdUkAKWQkhkcA94n5 18.00000000 5 829138.31989685 2.40980383
1093 298440 285991 9237bf8495ba93788ca1d01ba56bb8465978653d9ce24a3104424905e0b56a1a MmYcg229AEtNdHB5BVpvvowkH6E4T2Cpmdh 500.00000000 5 829638.31989685 66.93899542
1094 298669 286209 a410c3ea09b13107a3cc952db9431d07c00da68d04f5db99a2a23af682c38886 MmZv4fpJeoVeRr7S5n34UmZNatLWu1usqem 611.00000000 5 830249.31989685 81.79945241
1095 298719 286255 ba893f1911addb4b5450394eb51b7ae05b9149b6d97609c24f58dbca39702eac Mmat2NasvYRJTEVuC87CTfU6JKgLufLvLHX 500.00000000 5 830749.31989685 66.93899542
1096 298994 286511 3a35d9c2f8b604bbbe4d69349304f9df6d27d77f1d7023ab864f139f4b0d47a2 MmS2z9EZytZGw4iKnTJaPUCfSFfEixjDsip 110.00000000 5 830859.31989685 14.72657899
1097 300271 287756 679a7f9aa5f3c40363a0a4f8fa6d6d254e6bad3f7eb4138837adac8dca3b1596 MmWgKrQS1gWPempAVfqBZpUwxCkPF4jsEps 115.00000000 5 830974.31989685 15.39596894
1098 300718 288176 5345a59f12457978906e606420d5f713f9d583e74adc5ed257cf91ad13247122 MmiGVLbmtnCQMMPMZk9iLpLdMf2HQJ463GT 538.00000000 4 831512.31989685 57.62108726
1099 300828 288281 2559b2b491510a6b96ad4e623f8a7eda1c183e1d9ce60779ae032234a85e9494 MmaJ2tfSchbPCks8sGZDnp2fsKhmfNEJQCm 200.00000000 4 831712.31989685 21.42047853
1100 300862 288308 989f3f44c2192450e9d0d15a089b413dd018c8da6a00dcdabe89a0abc96847bc MmhTJ8XmAC33m2wCa1wgQg7BT4SBsBxPyFM 134.00000000 4 831846.31989685 14.35172061
1101 300875 288320 975d53e2b684d1ed65811c5ce029ba671ef201d769e1772fc6f90de67e3ec146 MmUwz46SkyNYQYtDSG3kwXn7eEhESWecP1D 1500.00000000 4 833346.31989685 160.65358902
1102 301750 289107 175683d80f301d095e04ce1f49327fb41f8796f2c0b1c5a3ebafa3bfaec5a26d MmNHWpf81ESPKnXZqRT89nhDaxZVLMa7ZYE 105.00000000 4 833451.31989685 11.24575123
1103 302452 289751 9e507f3ce00c1df711d04cc93edd2780d911ccb45817cda2348f4f684639443a MmbhCniCvjrGpq7UXPkrkY1jMM7vjUCng8Z 100.00000000 4 833551.31989685 10.71023926
1104 303690 290974 60e14661aba9c944e2342893ca2ceaa652d0f69ed71b4632c2a19f6803301fff MmUhbP57vNjZt4dEsYMo2qFQT58JLY3fpkh 999.00000000 4 834550.31989685 106.99529029
1105 303728 291008 b8195574138f8582d1523c2a2c12677f6882ffee3a0d6eca0249255c5cd1d71d MmbJFjKtJWEL4MiGs5qAokSuvqbzt3LxbZF 1000.00000000 4 835550.31989685 107.10239268
1106 303782 291061 f99a53c20fec5e6ea2b551476a5a7937039e500e135cce810b0d2650ff6edc8e MmKkZMT9crb8yhwLBKnaf5URaFtb2j8qN1C 1000.00000000 4 836550.31989685 107.10239268
1107 304337 291556 e3e0bd4706f9ab3c21aac90a6f1da659f046f44c1ff57099ae87266785c0406e MmbhCniCvjrGpq7UXPkrkY1jMM7vjUCng8Z 200.00000000 4 836750.31989685 21.42047853
1108 304685 291873 cc3b7d81e01bc623928dcdcd98e83b48d0747d9fa84688664bf6dd73eabbea8c MmirLJXnA5nA8Eih6nQntcm88xCgWDux78w 908.34000000 4 837658.65989685 97.28538737
1109 304698 291884 0091a88586d09d70c16c14e0f4bd6c7a4f3218ecc4b0cdb59b91468427fbfb0f MmXHbwV4PVRhnfPYA2Zqa4af7MJsZH3HuuK 300.00000000 4 837958.65989685 32.13071780
1110 305146 292303 d5f5a5e5c475f02b5ccb78eab94d66d83b728b3783d97789312df291f29bcac8 MmhxC9c8QFQU7w363Gw2K1Jpv6Q7qrqe7ye 250.00000000 4 838208.65989685 26.77559817
1111 305611 292744 9d4541e7ce5e4df92ad6d4a8d44f0c7e4a3b8cf4afcef34ea062c64adb75ceb5 MmPVnee3txzJ4sjoJGv7JMpbYyoUsMi91zz 19.20000000 4 838227.85989685 2.05636593
1112 305684 292811 88ee96ab7c286bdb0f0846bec85104a27b6f7a231a97e4a340376b1c07c09145 MmirLJXnA5nA8Eih6nQntcm88xCgWDux78w 1091.66000000 4 839319.51989685 116.91939799
1113 306861 293925 49c9d1de8e8b8b8fa3cca9a8d58442bde6e636498271848dd2c16d59ccfde97d Mmc52zvtCLmBmhqtDyf5qqqdQN4xXZkoarq 2.00000000 4 839321.51989685 0.21420478
1114 307158 294195 ea716857ed22d107ede5876bac7d2cfe37ab45cabd17c465848798c0bbc0efd6 MmZDJyX77UkceWHNgdcwFjMmQ3bWpo9Nhei 28.00000000 4 839349.51989685 2.99886699
1115 307708 294650 030827f045229d198f1f0d6e5d2e9fd275475f8e0c51d4b7eaa3eccd51a5a371 MmRrs85KK9bUXHJuc31MgWpVDLiQuYgYvgt 418.00000000 4 839767.51989685 44.76880014
1116 307904 294830 514e56dc74a73eb8f5f3c92c73924f55146258c3cecd007d6b911f307855bbea MmZDJyX77UkceWHNgdcwFjMmQ3bWpo9Nhei 150.00000000 4 839917.51989685 16.06535890
1117 308386 295230 85543ac8bd3831f281f289b28e7b4614ab6e22df32748005ad76c72e2c84d4a2 MmMmBbMWsJGbYQxvra9zSVz9d34Q4E4QtPE 1000.00000000 4 840917.51989685 107.10239268
1118 308910 295690 e4b07c5294fac163b64aa7f0387167ab69a8f7d9ec89329d28d629b9d33186b3 MmgMPvbacsoFqrZJcqhVm5aMSTVV5t3pVXB 96.00000000 4 841013.51989685 10.28182969
1119 310413 297124 9197f688bf79fce16065fe3c29dbe9ea1ca2d2d35f1fd252020d9be7b2afffca MmRE1R5jU7u6vFb8CwULBDVrZwM8Mrt3X8T 54.00000000 4 841067.51989685 5.78352920
1120 310442 297151 d4c3c1e1e8c772665d0effc7d96e003a9d344f7b07987a595fca88a726fe472e MmYkY79iP3zScFZ2jFp5zXTKW7MstRwYmEo 6.56400000 4 841074.08389685 0.70302010
1121 310496 297200 486219466971805718ad8101f839b5522bcc621a73f57cd0e9691bbffc93ede3 MmbEEDc4pvSD4oUBWVYFHKmpxhC9fcmWXs6 1116.00000000 4 842190.08389685 119.52627023
1122 310941 297563 d4e494339a6f9a699a085cd767d2366ab7e2072f991a35dc0d152b97dd29319e MmP1Uj7hcLxkSdjamxpsSKmrFQzjHaEid7e 159.00000000 4 842349.08389685 17.02928043
1123 311199 297805 28554dfff34e2256281e7eaef4c7f4574a810cc9071e37cfe4f5273a3166f7d6 MmfAeX87MJHx137oTzGgKBLnBKuHfjYyR5q 1000.00000000 4 843349.08389685 107.10239268
1124 311512 298090 ee73bfb2fd84d7f1ece79c7dc37de95526b2877978333ce3fd4c28ab2f571707 MmarRpJDr7wWWKgbpzkRbQfS89c3wzztfdM 300.00000000 4 843649.08389685 32.13071780
1125 311949 298476 7f719bb1d815a7acac70c3de388c1eb8617d9fdbd2b26c1561eed7357870e303 MmUrXcCprFumxW3J6E6bRL25DbAtQkLBoXp 400.00000000 4 844049.08389685 42.84095707
1126 313015 299520 977c4b83e932cb753b3cea1e24b7e9d818b0395e51a38c876138e95b2dbfc848 MmSz1vjJ6k1LBFux5qFKbj7VvYdTAv9meZN 1212.31000000 4 845261.39389685 129.84130167
1127 313348 299817 7d265ce605fdb92dbbb44910798dcd3d3f064ce73df5efff39ee2fa89c07e10c MmTTG8NT2oL4k9Gq62qWqn2G7fTf1RfU1LC 506.00000000 4 845767.39389685 54.19381069
1128 314078 300448 557bc5a7c26fe40aeb79da968ce4bf0f5ec002b321f20ae66caf1b49a2475881 MmUqSxeiX7cCs5tyjoznSzckoD1z34aXQv5 100.00000000 4 845867.39389685 10.71023926
1129 314284 300644 861b368ff5a960e0bdcc8d52d17373cdd510be2fef4a84c8094178848ebe7354 Mmb5rv26dnunUGMTQSMamnUmsyi38QsE8PS 15.00000000 4 845882.39389685 1.60653589
1130 314667 300992 3da0b7fc0d7dab2a4c2ba27b4332639e73eccff6dbbba086c2df1408560af68c MmLiUeVuXFi8QB42W5ivcWmGDvEBKtCzikM 160.00000000 4 846042.39389685 17.13638282
1131 314883 301196 29308c262774f7a26c911663be8adc3a1fd14821b464c7f8113e1c8c47acf801 MmhxC9c8QFQU7w363Gw2K1Jpv6Q7qrqe7ye 269.90000000 4 846312.29389685 28.90693578
1132 316040 302332 9f4d32c5e6e75f9312018bffdfb5aa8463048591638ded0d6dfc6767c3eb28ec MmiGVLbmtnCQMMPMZk9iLpLdMf2HQJ463GT 150.00000000 4 846462.29389685 16.06535890
1133 316669 302874 6837faea109a50545752461c1c065bd6da53c68dedda6e39b42e10a2ac8a64cb MmRADFuFtL9oGty49b4GopUqri18az7KJ1k 1005.00000000 4 847467.29389685 107.63790464
1134 316970 303157 04e163e48dab1acadf5aa431e97375b79a0e9fdef82637dd6942f1c663ccc46e MmbnHWGc4qG1soJNb7ASovCzWMhwfE4moZL 325.00000000 4 847792.29389685 34.80827762
1135 317064 303235 a7c1ad336184540fa9cd26e8851547cce6df487c2d18a71f699ad6e3501cec42 MmWoE96zsR74Zc9UA1ga1GtafMESbXztgpz 48.65000000 4 847840.94389685 5.21053140
1136 317327 303464 cd8362f034854364adb6a8031ce422aaeea306c9d7be9370dc7f4da6691f65e9 MmazENqv1mU9sy3C3VgKNUiVKAi2ewyZWiE 500.00000000 4 848340.94389685 53.55119634
1137 317561 303679 4ab1d3d9af20ce7a687a47586dc3cfa5f3381c0b54c82224d8b5deec1dc69d3f MmUng4CfY4RV9mKiWUG9S9A6x8YRDmabBCy 181.00000000 4 848521.94389685 19.38553307
1138 317767 303873 9da3b1c57d411ce523c5ef4a33a878eca28dd81c10839528ebe84b736387474b MmPzhyFbmWPDzgA5DcTkq7CGdwcFgTzQyiM 440.00000000 4 848961.94389685 47.12505278
1139 318050 304147 5654aadcb8bbcd8c09e95a4f043d96bf5ad7b9c5ed252e9bd29b7d257fbac6df MmLXRs8JydQ839KGsJrQuBQCa9eqKVxKbbW 1500.00000000 4 850461.94389685 160.65358902
1140 319143 305185 1512ccb83d0411e2b4f01ce5f79f78396488744f5dd2b62758c777cc82e6ac14 MmVHRG61sCUVbrwXCiTDLP7Npp3LSvBBPjU 100.00000000 4 850561.94389685 10.71023926
1141 319810 305688 2f8139507990dfc49d1dbfee9ae9491d1c3bf47892505cb73843df7f568dc674 MmVka7EtUVq8u8wNqmBor4nBui7SpAUk9Gt 1100.00000000 4 851661.94389685 117.81263195
1142 319826 305700 f46bbaa582991dde50f02c9eba52c56fb256438fd49e74830ebdb157673c3aef MmRovVyMfB5diuUNaLNVZYpH98jkpG574ye 400.00000000 4 852061.94389685 42.84095707
1143 319896 305756 15c857efcacef4cd1d896991ed1e0ac10924587ef64f83ab5fbeb6f9b5622b4f MmhczbvAAGh9NkQt95XgaUtVSjCYjUGURv3 3137.00000000 4 855198.94389685 335.98020585
1144 319939 305790 fc345c698020792064f24ac5c713b7694a792b8f6040c4008874419f39dd2dc1 MmMZFPMZ3KYMzj6EXQjckQvKqz3SC6t4vDF 999.00000000 4 856197.94389685 106.99529029
1145 319963 305809 1bd5d0e6fd0b023ef85740d2010e605b4a89eefe7ddbe1935a77d52a52457ff1 MmW3JBbvN31ZqjuV4B2HcPKaW1fzWKPE6ct 414.00000000 4 856611.94389685 44.34039057
1146 320007 305846 b5c89bd2e041282a1729f4a284041b055aae42f09f72913d9d6d27e8bbce8f40 MmSz1vjJ6k1LBFux5qFKbj7VvYdTAv9meZN 54.00000000 4 856665.94389685 5.78352920
1147 320017 305850 a3fcff505b71603a6b70bb92239d48ffef469096ea9614c231aca24be3ca627b Mmarz5seAPQmz1FStZK5pNPPTUYv5VxxY8F 100.00000000 4 856765.94389685 10.71023926
1148 320044 305871 8eb51d9ced4c28d35fc6ed0daea828857e6cea4b919403ae58fa8d23f0c06231 MmYkdqQ5iHK9u7BNpxCirD8W4dShKRDkFRC 1000.00000000 4 857765.94389685 107.10239268
1149 320082 305901 7b11c9aca7dd1d38be8b5b668ba12fae1d58571ebbea7d2a149719a189f45c02 MmX5a4NG8SJKTyPrMeUtXAX1s8j6ZhCmm7J 560.00000000 4 858325.94389685 59.97733990
1150 320088 305906 c94ae8904fa674325abe0a31e9654f95d03d5eff9e2a771bd254224ffdbd2b48 MmYkdqQ5iHK9u7BNpxCirD8W4dShKRDkFRC 996.00000000 4 859321.94389685 106.67398311
1151 320542 306265 abf09b5f65aa6c24d60e6d252c95f54079bdf2b449e73e426449199a63cbd33a MmUBUGY3JvWhv9v8McPdUkAKWQkhkcA94n5 25.00000000 3 859346.94389685 2.00816986
1152 320564 306285 22205d3b907eda43239c2c4b319bad7b18264061a1ba2488ee1853f7b1d44c85 MmZWtGhSPHdepauSATGPGDJ1eLvaeWSZAiG 1000.00000000 3 860346.94389685 80.32679451
1153 320696 306414 4c1b68413685c7003fc8e51404793118b9e38a6a6888cf8360eafdaa1a807783 MmNFV8WgmxHNCTApT2rWYB5bf9YFMPsgQTr 93.00000000 3 860439.94389685 7.47039188
1154 320744 306458 f5e8432eb32658a7a245cfef5438577c8ce6a349a4989a7bf810033ba4b3f9a4 Mmirf4WsMCoWiJceUtuB8YGCjBoYwzFCwkQ 28.00000000 3 860467.94389685 2.24915024
1155 320751 306463 cdd9076efeb8cd0bcdccf1d4224a917605a67e9983241775410dbd9a650334a7 MmLiUeVuXFi8QB42W5ivcWmGDvEBKtCzikM 108.00000000 3 860575.94389685 8.67529380
1156 320953 306649 338af841844fe37fb5c7a27710bd7af78d781450a6fecc34f9f2a2f3735c8eaf MmPLPWWXHriH2n3gA6RqmfYUtRRFtKTc5DV 2000.00000000 3 862575.94389685 160.65358902
1157 321058 306741 4a530303faed854e0379017d434e3563fa785ff3c52d198fc2267ace29289f47 Mma84KVNJ1GH79uswDCyc5rUijzbrErD15q 2500.00000000 3 865075.94389685 200.81698628
1158 321135 306806 15e9978a04c6c6096dbb25f866bac57af418dd6e786df4c1f5dc37c3db6fe431 MmRovVyMfB5diuUNaLNVZYpH98jkpG574ye 400.00000000 3 865475.94389685 32.13071780
1159 321236 306889 0d7fbef56e58f4a8102cf9dac1f1eae93ebd9c53ceb5c08cf5c186811acddaac MmT9wChLYSjadTkGpXpqVCXrdUk5bdh3MEm 645.00000000 3 866120.94389685 51.81078246
1160 321336 306971 a74fd9857d1316c42355d87f589a065cf497ffccde84a8e0dd7d1cd907c9d0d4 MmdR4wFRXWCRbfAkTaNjk1vYSVLHwmSdhX5 43.00000000 3 866163.94389685 3.45405216
1161 321339 306974 d8b96227e1f2b04a1306c044704761d7770cab6b8fd4cda46011241bb857a9c3 MmdR4wFRXWCRbfAkTaNjk1vYSVLHwmSdhX5 43.00000000 3 866206.94389685 3.45405216
1162 321541 307144 daa3b4bc964050e7ab74e15be861e6a1cd1d944adcf460de6327277ffac9f117 MmhUSLbzTuxPXJiS3j18w8utwG1m5VZkyw6 5.00000000 3 866211.94389685 0.40163397
1163 321570 307165 fce441895cb767a3d53ffc6b0198d17bda771b6cefc4b1eaf7bd975ae8f64ed6 MmNNKSTLwKyh9KVWs8y7cQgEFmftG6UruLB 1.90000000 3 866213.84389685 0.15262090
1164 321666 307256 f0b8419c7429b2cc512d660a79f1f46e18b8c0add962ac4150f0cf6fc3b77c80 MmdJhUHhMd9phGVWAP3hhuxjvYfeUieb5KC 1.90000000 3 866215.74389685 0.15262090
1165 322632 308178 c2e5d8888d9c4bc131c8855b33be29f2b9f34571eb8d3a09c630345c47e4d6da MmVuHhWcVSmfmiuxCjgkyVHtNoAofrM1WTu 0.99900000 3 866216.74289685 0.08024646
1166 322668 308210 05631dff7af273d25126183c2b34233941a8a76f9a13dae9fd73df4b40dcc879 MmXV3YCu9EcirrSzFMBbFKgXzgukM4Dic2A 500.00000000 3 866716.74289685 40.16339725
1167 323090 308504 9ff4ced9601766ff0e98417c8730cff3e8974f86217af61eef0c872fcf921203 MmUBUGY3JvWhv9v8McPdUkAKWQkhkcA94n5 14.00000000 3 866730.74289685 1.12457512
1168 323165 308562 92286099bc93e984edf81228dc511a63d082637420a3157727587145d0edc454 MmSiDeYRp5JDkWPFUqATUNVAdM1NrWj6Kyg 270.00000000 3 867000.74289685 21.68823451
1169 323167 308563 314c4ca78e5fa4cb68eefa332a48ea66b13f96f72ba77546ddece265da9d6202 MmMetTYpPboBKavdC6H97PJ4u8wr5iTe7eV 101.00000000 3 867101.74289685 8.11300624
1170 323270 308649 260a57227e1a2ecc3b22e46269f58be3b2690502db2902fc6a1288b070f7d778 MmbU61K9Ug4dRsASHygtWj3JW3rmbGLyDuY 200.00000000 3 867301.74289685 16.06535890
1171 323331 308695 3aee4f02cc5dcf08877597d65c28ea768c76cf8352c910d0b8fb8c7a7b878821 MmefBoxbSgopsKZgzCfPp7JdbfNki3Kx9Q3 400.00000000 3 867701.74289685 32.13071780
1172 323592 308904 6ab7a9b3349da13a7f0b6d95a186f0d8890531051a7443233a6522932efde8ae MmdiMnhsqFrzTCHz5gBtW1a31HcH5pmjKrm 469.00000000 3 868170.74289685 37.67326662
1173 323598 308908 ecffbba66aaf7ca4be427dd8b7b7fb3d622aff51009d23ab734c42cea11ba698 MmbBymM78XyJshfxWhUornZV8J1iJQovggd 499.00000000 3 868669.74289685 40.08307046
1174 323602 308910 1a9dd9fdfe14bfd9e483251bb5fbc0846618a3ff8c9077334fd49272debe5ba7 MmYDZPsU46p9wLHJbAf1fpfszADyiahU1w6 500.00000000 3 869169.74289685 40.16339725
1175 323609 308916 e17961cca9e0a720e7d2c9cc10f41100e889d73ac3533d66c8085c034d61a7f5 MmYN4nnRpYZWMgMXJ7qu4cSkeAo99h4Lt7B 499.00000000 3 869668.74289685 40.08307046
1176 323716 309017 a5896dfdec52d285b9cf6cfac03a6d56571f7f6f966a702b74bc20d7a0afa87c MmhczbvAAGh9NkQt95XgaUtVSjCYjUGURv3 3000.00000000 3 872668.74289685 240.98038354
1177 324201 309389 a77dd2364034358fb68b80a4e98eb234f30f4473e9f65c4eefa0e76105e78e22 MmXrVxonfgmkk3Pidt7GYmjDvv8K6Qq8zTG 3500.00000000 3 876168.74289685 281.14378080
1178 324575 309717 4279164c7ea4f53c0422ac2d2c8ecbcc0f2cbf385330b6191cc5e81e0ca88e04 MmQ3RFahCMqY56WuUWRcMtePj9tE4VAPnGC 500.00000000 3 876668.74289685 40.16339725
1179 324579 309720 01d37073e99cb2639d8268773a070931309920192f243e4f62ba5daec372dcf6 MmaHf7YgjMZD5f98iqPrtTQJaenAYU6hU5C 500.00000000 3 877168.74289685 40.16339725
1180 324598 309735 70aaa266e1332c1c91a50040d9a22531909312561224f6131dd9c48f940c694b MmMP7qSXAUak3SyzEtALtd7HH9FZzNxi6qZ 500.00000000 3 877668.74289685 40.16339725
1181 325021 310126 ab1743efdc92e5e17ee386493eac2a3a99a0965cdf9edfd702df832db8b3552d MmdmnWuwkH9t6uZc42UQVQBmhDNxBUF6TTp 5.90000000 3 877674.64289685 0.47392808
1182 326001 311085 900c026bff96cbe1e682219e6ce03709b159e3ab543fc1d45450c1c85805044b MmfjeaNYhXw41HSCWM4MukFKhfYYhsUe86S 588.00000000 3 878262.64289685 47.23215517
1183 326329 311318 e0b5e068b7fbe823e4c62e097c92d8a0ad6ee33f1dd828fdab8a22ca70823cc8 MmW3JBbvN31ZqjuV4B2HcPKaW1fzWKPE6ct 209.00000000 3 878471.64289685 16.78830005
1184 326401 311369 2afa387c901c71eb26cf680dd92632e8a49c1218753c4c9170977adc76f1401d MmhWjdm7RkUGtUXk8CEkH3KxaDwJs9WWpv8 200.00000000 3 878671.64289685 16.06535890
1185 326489 311427 b5032fd1a7cdc7ca18bf671f16bccd5362e5ce462e735a27439b39e5318f2d11 MmbQssY1M8xcgJRdXM5pB8CJXJhGLCJh7fk 200.00000000 3 878871.64289685 16.06535890
1186 326641 311531 52f4bd9a721288cc182bc50234c1ad83c51673ad97b74dcd00cf0edadd1caca8 MmUBUGY3JvWhv9v8McPdUkAKWQkhkcA94n5 14.00000000 3 878885.64289685 1.12457512
1187 326887 311731 3500abc400a0bb367b96962acd150df0bebb1be840778ec90a26f87a90bb134d MmdiMnhsqFrzTCHz5gBtW1a31HcH5pmjKrm 1046.00000000 3 879931.64289685 84.02182706
1188 327602 312377 651b1b95a93630151032996ff1d7c98b15f5814aaca7331fbd14cdb14205410d MmW3JBbvN31ZqjuV4B2HcPKaW1fzWKPE6ct 255.00000000 3 880186.64289685 20.48333260
1189 327675 312444 aeab49c3d03a66d5a3dc4de72abdd10ce9891af5e64843238b9420a4351d6e38 MmMWDWRbeut8waLjn17rPcBKHCw45PgJhKA 513.00000000 3 880699.64289685 41.20764558
1190 328061 312814 7c019e4c219c3990351157863c7e5db238dc50661f7f28840b3079c90a312372 MmZ8SCnbxD48wNoV5b26ZoZ9dmhfucSr1rL 39.00000000 3 880738.64289685 3.13274498
1191 329526 314233 e4821b071d008299f2270d0b89a842e1a7c9b2e6f50c9221c22a2f2788f2c323 MmZW9mteGHYdcZtRLhPUnL9BorFGEYtdybi 425.00000000 3 881163.64289685 34.13888766
1192 329770 314449 5ca72602d2fd80487267d02c8ff44ef7bad714b1d3df71862aad3f7798cedb18 MmNCXReEaFeMsFdBtrEqKqB1ryk5QLG7kMv 1000.00000000 3 882163.64289685 80.32679451
1193 329861 314523 239310d7d9aaa50ca641eebe604a6bbaaff7b23de6f6623d3d061961f7e964c6 MmZXzRtP3VhJ97gCSF9pDqyURRtmsaLvDUT 500.00000000 3 882663.64289685 40.16339725
1194 329861 314523 7695a7e664135800328baaae9f5e8e45414e1adc693015816f6dd19cbc638b90 MmMGMTjKXwM2eZEFcDJiPyeXdFwdWogb3nH 3.95000000 3 882667.59289685 0.31729083
1195 330269 314900 802133be47a3c2e5180b9c2fdd4b31a22e790215ae0c7e6f397ce70a66f50eb2 MmSPoCHbTsR8VZ7rqgmhRRBrBJeGbUQemw3 500.00000000 3 883167.59289685 40.16339725
1196 330542 315164 6dadf0b5354ff6813c2b952c7ad7cf868622ffe55c9d737dc0d7141c4fed6964 MmaJ2tfSchbPCks8sGZDnp2fsKhmfNEJQCm 50.00000000 3 883217.59289685 4.01633972
1197 330907 315442 034cb647c694fa7d7c7a979b952d68c17c4a1430a958f8cba904d277dbe5f4b8 Mmh3xZsFpXr2w5kuy6WQdEyUimQnhqDvHKs 500.00000000 3 883717.59289685 40.16339725
1198 331385 315803 9c61b8b674c4059113ac65686aee3132057371d3df38c6dade2ab252879fb987 MmheZL6SN8RhzTtLdN4bhK7GXCZCbNmvVyY 500.00000000 3 884217.59289685 40.16339725
1199 332465 316789 88586a706c9fad3fed1689818ba9051580de0419c0e55fceb14ba7249bc4f186 MmUBUGY3JvWhv9v8McPdUkAKWQkhkcA94n5 15.00000000 3 884232.59289685 1.20490191
1200 332741 316996 873a3c121984a2e0a1fc9f880026689c9678f088c7d9c932618372de06646303 MmcHgekuBRYxMHKKici6Wo9FxbBukhjvXsN 202.00000000 3 884434.59289685 16.22601249
